Product Name,Printing,Rarity,Market Price
Daring Raid,Normal,Common,$0.09
Death Watch Hideout // Shield,Normal,Common,$0.09
Detention Block Rescue,Foil,Common,$0.09
Doctor Aphra - Rapacious Archaeologist,Normal,Rare,$0.09
HWK-290 Freighter,Foil,Common,$0.09
Hondo Ohnaka - That's Good Business,Normal,Common,$0.09
Jabba's Palace // Shield,Normal,Common,$0.09
Mercenary Company,Foil,Common,$0.09
Midnight Repairs,Normal,Uncommon,$0.09
Nevarro City // Shield,Normal,Common,$0.09
Reputable Hunter,Foil,Common,$0.09
Rickety Quadjumper,Foil,Common,$0.09
Rival's Fall,Normal,Common,$0.09
Wanted Insurgents,Foil,Common,$0.09
Warzone Lieutenant,Foil,Common,$0.09
Bossk - Hunting His Prey,Normal,Common,$0.10
Brutal Traditions,Normal,Uncommon,$0.10
Cloud-Rider,Normal,Common,$0.10
Commission,Normal,Uncommon,$0.10
Criminal Muscle,Foil,Common,$0.10
Criminal Muscle,Normal,Common,$0.10
Cripple Authority,Normal,Uncommon,$0.10
Disabling Fang Fighter,Normal,Common,$0.10
Embo - Stoic and Resolute,Normal,Uncommon,$0.10
Frontier Trader,Foil,Common,$0.10
Fugitive Wookiee,Normal,Common,$0.10
Grey Squadron Y-Wing,Normal,Common,$0.10
Han Solo - Worth the Risk,Normal,Common,$0.10
Heroic Renegade,Normal,Common,$0.10
House Kast Soldier,Normal,Common,$0.10
Hunting Nexu,Normal,Common,$0.10
Liberated Slaves,Foil,Common,$0.10
Midnight Repairs,Normal,Uncommon,$0.10
Nite Owl Skirmisher,Normal,Common,$0.10
Pillage,Normal,Common,$0.10
Pillage,Normal,Common,$0.10
Price on Your Head,Normal,Common,$0.10
Reputable Hunter,Normal,Common,$0.10
Rhokai Gunship,Normal,Common,$0.10
Seasoned Shoretrooper,Normal,Special,$0.10
Synara San - Loyal to Kragan,Normal,Uncommon,$0.10
Trandoshan Hunters,Foil,Common,$0.10
Twin Pod Cloud Car,Normal,Common,$0.10
Unexpected Escape,Normal,Uncommon,$0.10
Unlicensed Headhunter,Normal,Uncommon,$0.10
Wookiee Warrior,Normal,Common,$0.10
Adelphi Patrol Wing,Foil,Common,$0.11
Boba Fett - Daimyo (Hyperspace),Normal,Common,$0.11
Bounty Guild Initiate,Foil,Common,$0.11
Cell Block Guard,Normal,Special,$0.11
Cloud-Rider,Normal,Common,$0.11
Confiscate,Normal,Special,$0.11
Coronet City // Experience,Normal,Common,$0.11
Fell the Dragon,Normal,Uncommon,$0.11
Hutt's Henchmen,Foil,Common,$0.11
Kintan Intimidator,Foil,Common,$0.11
No Bargain,Foil,Common,$0.11
Privateer Scyk,Foil,Common,$0.11
Remote Village // Experience,Normal,Common,$0.11
Scanning Officer,Normal,Uncommon,$0.11
Snapshot Reflexes,Normal,Special,$0.11
This Is The Way,Normal,Uncommon,$0.11
Twin Pod Cloud Car,Foil,Common,$0.11
Valiant Assault Ship,Normal,Uncommon,$0.11
Bo-Katan Kryze - Princess in Exile,Normal,Rare,$0.12
Cloud-Rider,Foil,Common,$0.12
Coruscant Dissident,Normal,Uncommon,$0.12
Gentle Giant,Foil,Common,$0.12
Hylobon Enforcer,Foil,Common,$0.12
Kihraxz Heavy Fighter,Normal,Uncommon,$0.12
L3-37 - Droid Revolutionary,Normal,Uncommon,$0.12
Maz Kanata's Castle // Experience (Hyperspace),Normal,Common,$0.12
Rhokai Gunship,Foil,Common,$0.12
Rose Tico - Dedicated to the Cause,Normal,Uncommon,$0.12
Street Gang Recruiter,Foil,Common,$0.12
Underworld Thug (Hyperspace),Normal,Common,$0.12
Warbird Stowaway,Foil,Common,$0.12
Armed to the Teeth,Normal,Uncommon,$0.13
Death Mark,Foil,Common,$0.13
Disabling Fang Fighter,Foil,Common,$0.13
Finn - This is a Rescue,Normal,Rare,$0.13
Hunter of the Haxion Brood,Foil,Common,$0.13
Moment of Glory,Foil,Common,$0.13
Public Enemy,Foil,Common,$0.13
The Armorer - Survival Is Strength,Normal,Uncommon,$0.13
Vigilant Pursuit Craft,Foil,Common,$0.13
Wookiee Warrior,Foil,Common,$0.13
Bossk - Hunting His Prey (Hyperspace),Normal,Common,$0.14
Coronet City // Experience (Hyperspace),Normal,Common,$0.14
Death Watch Hideout // Experience (Hyperspace),Normal,Common,$0.14
Desperado Freighter,Foil,Common,$0.14
Follower of The Way,Foil,Common,$0.14
Lady Proxima - White Worm Matriarch,Normal,Uncommon,$0.14
Remnant Science Facility // Experience (Hyperspace),Normal,Common,$0.14
Take Captive,Foil,Common,$0.14
Bravado,Normal,Uncommon,$0.15
Cloud-Rider,Foil,Common,$0.15
Desperate Attack,Normal,Common,$0.15
Detention Block Rescue,Normal,Common,$0.15
Echo - Restored,Normal,Uncommon,$0.15
Enfys Nest - Marauder,Normal,Uncommon,$0.15
Grey Squadron Y-Wing,Foil,Common,$0.15
Hondo Ohnaka - That's Good Business (Hyperspace),Normal,Common,$0.15
Hunting Nexu,Foil,Common,$0.15
Jabba's Rancor - Pateesa,Normal,Uncommon,$0.15
Look the Other Way,Foil,Common,$0.15
Mandalorian Warrior,Normal,Common,$0.15
Millennium Falcon - Lando's Pride,Normal,Uncommon,$0.15
Modded Cohort,Foil,Common,$0.15
Outflank,Foil,Common,$0.15
Spare the Target,Normal,Uncommon,$0.15
Spice Mines // Experience (Hyperspace),Normal,Common,$0.15
Cad Bane - He Who Needs No Introduction (Hyperspace),Normal,Common,$0.16
Covetous Rivals,Foil,Common,$0.16
Gamorrean Retainer,Foil,Common,$0.16
Guavian Antagonizer,Foil,Common,$0.16
Headhunting,Foil,Uncommon,$0.16
Jetpack,Normal,Uncommon,$0.16
Krrsantan - Muscle for Hire,Normal,Uncommon,$0.16
Lando Calrissian - With Impeccable Taste,Normal,Rare,$0.16
Mercenary Gunship,Normal,Uncommon,$0.16
Outland TIE Vanguard,Foil,Common,$0.16
Remnant Science Facility // Shield (Hyperspace),Normal,Common,$0.16
Rey - More Than a Scavenger (Hyperspace),Normal,Common,$0.16
Supercommando Squad,Foil,Common,$0.16
The Client - Dictated by Discretion,Normal,Uncommon,$0.16
Wroshyr Tree Tender,Foil,Common,$0.16
Zuckuss - Bounty Hunter for Hire,Normal,Uncommon,$0.16
Cartel Turncoat (Hyperspace),Normal,Common,$0.17
Fennec Shand - Honoring the Deal (Hyperspace),Normal,Common,$0.17
Gar Saxon - Viceroy of Mandalore (Hyperspace),Normal,Common,$0.17
Han Solo - Worth the Risk (Hyperspace),Normal,Common,$0.17
Jabba's Palace // Experience (Hyperspace),Normal,Common,$0.17
Kylo Ren - Rash and Deadly,Normal,Rare,$0.17
Nite Owl Skirmisher,Foil,Common,$0.17
Qi'ra - I Alone Survived,Normal,Rare,$0.17
Remote Village // Shield (Hyperspace),Normal,Common,$0.17
Ruthless Assassin (Hyperspace),Normal,Common,$0.17
Vambrace Grappleshot,Foil,Common,$0.17
Weequay Pirate Gang,Foil,Common,$0.17
Black Sun Starfighter,Foil,Common,$0.18
Death Watch Hideout // Shield (Hyperspace),Normal,Common,$0.18
Dengar - The Demolisher,Normal,Uncommon,$0.18
Headhunting,Normal,Uncommon,$0.18
Modded Cohort,Foil,Common,$0.18
Principled Outlaw,Foil,Common,$0.18
Privateer Crew,Foil,Uncommon,$0.18
Protector of the Throne,Foil,Common,$0.18
Remnant Reserves,Foil,Uncommon,$0.18
Rich Reward,Foil,Common,$0.18
Ruthless Assassin,Foil,Common,$0.18
Salacious Crumb - Obnoxious Pet,Normal,Uncommon,$0.18
Spare the Target,Foil,Uncommon,$0.18
Spice Mines // Shield (Hyperspace),Normal,Common,$0.18
Timely Intervention,Normal,Common,$0.18
Toro Calican - Ambitious Upstart,Normal,Uncommon,$0.18
A New Adventure,Normal,Uncommon,$0.19
Coronet City // Shield (Hyperspace),Normal,Common,$0.19
Desperate Attack,Foil,Common,$0.19
Embo - Stoic and Resolute,Foil,Uncommon,$0.19
Guild Target,Normal,Uncommon,$0.19
Maz Kanata's Castle // Shield (Hyperspace),Normal,Common,$0.19
Pyke Sentinel,Foil,Common,$0.19
Valiant Assault Ship,Foil,Uncommon,$0.19
Village Protectors,Foil,Common,$0.19
Bo-Katan Kryze - Fighting For Mandalore,Normal,Uncommon,$0.20
Clan Challengers,Foil,Common,$0.20
Covert Strength,Foil,Common,$0.20
Death Watch Loyalist,Foil,Common,$0.20
Discerning Veteran,Foil,Common,$0.20
Embo - Stoic and Resolute,Normal,Uncommon,$0.20
Fenn Rau - Protector of Concord Dawn,Normal,Uncommon,$0.20
Foundling,Foil,Common,$0.20
Foundling,Normal,Common,$0.20
Gar Saxon - Viceroy of Mandalore,Normal,Common,$0.20
Gentle Giant,Normal,Common,$0.20
Jabba's Rancor - Pateesa,Normal,Uncommon,$0.20
Ma Klounkee,Foil,Common,$0.20
Maz Kanata's Castle // Experience (Hyperspace),Normal,Common,$0.20
Nevarro City // Shield (Hyperspace),Normal,Common,$0.20
Principled Outlaw (Hyperspace),Normal,Common,$0.20
Public Enemy,Normal,Common,$0.20
Reckless Gunslinger,Normal,Common,$0.20
Smuggler's Aid (Hyperspace),Normal,Common,$0.20
Street Gang Recruiter (Hyperspace),Normal,Common,$0.20
The Armorer - Survival Is Strength,Normal,Uncommon,$0.20
Toro Calican - Ambitious Upstart,Normal,Uncommon,$0.20
Bounty Hunter's Quarry,Normal,Uncommon,$0.21
Collections Starhopper,Foil,Common,$0.21
Cripple Authority,Foil,Uncommon,$0.21
Jabba's Palace // Shield (Hyperspace),Normal,Common,$0.21
L3-37 - Droid Revolutionary,Foil,Uncommon,$0.21
Liberated Slaves (Hyperspace),Normal,Common,$0.21
Midnight Repairs,Foil,Uncommon,$0.21
Niima Outpost Constables (Hyperspace),Normal,Common,$0.21
Outlaw Corona (Hyperspace),Normal,Common,$0.21
Public Enemy (Hyperspace),Normal,Common,$0.21
Punishing One - Dengar's Jumpmaster,Normal,Uncommon,$0.21
Rival's Fall,Foil,Common,$0.21
Wanted (Hyperspace),Normal,Common,$0.21
Wanted Insurgents (Hyperspace),Normal,Common,$0.21
Bravado,Foil,Uncommon,$0.22
Chain Code Collector (Hyperspace),Normal,Common,$0.22
Clan Wren Rescuer,Foil,Common,$0.22
Fenn Rau - Protector of Concord Dawn,Normal,Uncommon,$0.22
Frozen in Carbonite,Normal,Uncommon,$0.22
Frozen in Carbonite,Normal,Uncommon,$0.22
House Kast Soldier,Foil,Common,$0.22
IG-11 - I Cannot Be Captured,Normal,Uncommon,$0.22
Outflank (Hyperspace),Normal,Common,$0.22
Outlaw Corona,Foil,Common,$0.22
Resilient,Normal,Special,$0.22
Resourceful Pursuers,Foil,Common,$0.22
Spark of Hope,Normal,Uncommon,$0.22
This Is The Way,Foil,Uncommon,$0.22
Wanted,Foil,Common,$0.22
Coruscant Dissident,Normal,Uncommon,$0.23
Crosshair - Following Orders,Normal,Uncommon,$0.23
Echo - Restored,Normal,Uncommon,$0.23
Ketsu Onyo - Old Friend,Normal,Uncommon,$0.23
Lurking TIE Phantom,Normal,Uncommon,$0.23
Rival's Fall,Normal,Common,$0.23
Rose Tico - Dedicated to the Cause,Normal,Uncommon,$0.23
Sundari Peacekeeper,Normal,Uncommon,$0.23
Top Target,Foil,Uncommon,$0.23
Weequay Pirate Gang (Hyperspace),Normal,Common,$0.23
Cassian Andor - Rebellions Are Built On Hope,Normal,Uncommon,$0.24
Clone Deserter,Foil,Common,$0.24
Fugitive Wookiee (Hyperspace),Normal,Common,$0.24
General Tagge - Concerned Commander,Normal,Special,$0.24
Kintan Intimidator (Hyperspace),Normal,Common,$0.24
Krrsantan - Muscle for Hire,Normal,Uncommon,$0.24
Migs Mayfeld - Triggerman,Foil,Rare,$0.24
Slaver's Freighter (Hyperspace),Normal,Common,$0.24
Warbird Stowaway (Hyperspace),Normal,Common,$0.24
Adelphi Patrol Wing (Hyperspace),Normal,Common,$0.25
Brutal Traditions (Hyperspace),Normal,Uncommon,$0.25
Cargo Juggernaut (Hyperspace),Normal,Common,$0.25
Clan Challengers,Normal,Common,$0.25
Clan Saxon Gauntlet,Normal,Uncommon,$0.25
Clan Wren Rescuer (Hyperspace),Normal,Common,$0.25
Collections Starhopper (Hyperspace),Normal,Common,$0.25
Coronet City // Experience (Hyperspace),Normal,Common,$0.25
Coruscant Dissident,Foil,Uncommon,$0.25
Covert Strength,Normal,Common,$0.25
Daring Raid,Normal,Common,$0.25
Daring Raid (Hyperspace),Normal,Common,$0.25
Death Watch Hideout // Shield (Hyperspace),Normal,Common,$0.25
Death Watch Loyalist (Hyperspace),Normal,Common,$0.25
Dengar - The Demolisher,Normal,Uncommon,$0.25
Discerning Veteran (Hyperspace),Normal,Common,$0.25
Doctor Pershing - Experimenting With Life,Normal,Rare,$0.25
Evidence of the Crime,Foil,Rare,$0.25
Fell the Dragon,Normal,Uncommon,$0.25
Fennec Shand - Loyal Sharpshooter,Normal,Uncommon,$0.25
Follower of the Way (Hyperspace),Normal,Common,$0.25
Fugitive Wookiee (Hyperspace),Normal,Common,$0.25
Gamorrean Retainer (Hyperspace),Normal,Common,$0.25
Gar Saxon - Viceroy of Mandalore (Hyperspace),Normal,Common,$0.25
Grey Squadron Y-Wing (Hyperspace),Normal,Common,$0.25
Guild Target,Normal,Uncommon,$0.25
Headhunting (Hyperspace),Normal,Uncommon,$0.25
Hondo Ohnaka - That's Good Business (Hyperspace),Normal,Common,$0.25
House Kast Soldier (Hyperspace),Normal,Common,$0.25
Hunting Nexu (Hyperspace),Normal,Common,$0.25
IG-11 - I Cannot Be Captured,Normal,Uncommon,$0.25
Jabba the Hutt - His High Exaltedness,Normal,Rare,$0.25
Jabba's Palace // Shield (Hyperspace),Normal,Common,$0.25
Kuiil - I Have Spoken,Normal,Uncommon,$0.25
L3-37 - Droid Revolutionary,Foil,Uncommon,$0.25
Look the Other Way (Hyperspace),Normal,Common,$0.25
Mercenary Gunship,Foil,Uncommon,$0.25
Moisture Farmer (Hyperspace),Normal,Common,$0.25
Nevarro City // Experience (Hyperspace),Normal,Common,$0.25
Nevarro City // Shield (Hyperspace),Normal,Common,$0.25
Nite Owl Skirmisher (Hyperspace),Normal,Common,$0.25
No Bargain (Hyperspace),Normal,Common,$0.25
Outland TIE Vanguard (Hyperspace),Normal,Common,$0.25
Pillage (Hyperspace),Normal,Common,$0.25
Pirate Battle Tank (Hyperspace),Foil,Common,$0.25
Pirate Battle Tank (Hyperspace),Normal,Common,$0.25
Price on Your Head (Hyperspace),Normal,Common,$0.25
Privateer Crew,Normal,Uncommon,$0.25
Privateer Scyk (Hyperspace),Normal,Common,$0.25
Protector of the Throne (Hyperspace),Normal,Common,$0.25
Protector of the Throne (Hyperspace),Normal,Common,$0.25
Public Enemy (Hyperspace),Normal,Common,$0.25
Punishing One - Dengar's Jumpmaster,Foil,Uncommon,$0.25
Pyke Sentinel (Hyperspace),Normal,Common,$0.25
Qi'ra - I Alone Survived,Normal,Rare,$0.25
Reckless Gunslinger (Hyperspace),Normal,Common,$0.25
Relentless Pursuit (Hyperspace),Normal,Common,$0.25
Remote Village // Experience (Hyperspace),Normal,Common,$0.25
Remote Village // Experience (Hyperspace),Normal,Common,$0.25
Rey - More Than a Scavenger,Normal,Common,$0.25
Rey - More Than a Scavenger (Hyperspace),Normal,Common,$0.25
Salacious Crumb - Obnoxious Pet,Normal,Uncommon,$0.25
Spice Mines // Shield (Hyperspace),Normal,Common,$0.25
Sugi - Hired Guardian,Normal,Rare,$0.25
Supercommando Squad (Hyperspace),Normal,Common,$0.25
Timely Intervention (Hyperspace),Normal,Common,$0.25
Wanted Insurgents (Hyperspace),Normal,Common,$0.25
Weequay Pirate Gang (Hyperspace),Normal,Common,$0.25
Wookiee Warrior (Hyperspace),Normal,Common,$0.25
Wroshyr Tree Tender (Hyperspace),Normal,Common,$0.25
Zuckuss - Bounty Hunter for Hire,Normal,Uncommon,$0.25
Boba Fett - Daimyo (Hyperspace),Normal,Common,$0.26
Bounty Posting (Hyperspace),Normal,Uncommon,$0.26
Criminal Muscle (Hyperspace),Normal,Common,$0.26
Crosshair - Following Orders,Normal,Uncommon,$0.26
Doctor Pershing - Experimenting With Life,Normal,Rare,$0.26
Enticing Reward,Foil,Uncommon,$0.26
Hutt's Henchmen (Hyperspace),Normal,Common,$0.26
Moisture Farmer,Foil,Common,$0.26
Nite Owl Skirmisher (Hyperspace),Normal,Common,$0.26
Pillage,Foil,Common,$0.26
Surprise Strike,Foil,Common,$0.26
Trandoshan Hunters (Hyperspace),Normal,Common,$0.26
Bounty Guild Initiate (Hyperspace),Foil,Common,$0.27
Cripple Authority (Hyperspace),Normal,Uncommon,$0.27
Gentle Giant (Hyperspace),Normal,Common,$0.27
Hunter - Outcast Sergeant,Normal,Rare,$0.27
Mandalorian Warrior,Foil,Common,$0.27
Nevarro City // Experience (Hyperspace),Normal,Common,$0.27
Spark of Hope,Foil,Uncommon,$0.27
Spark of Hope,Normal,Uncommon,$0.27
Sundari Peacekeeper,Normal,Uncommon,$0.27
Wookiee Warrior (Hyperspace),Normal,Common,$0.27
4-LOM - Bounty Hunter for Hire,Normal,Uncommon,$0.28
Concord Dawn Interceptors,Normal,Uncommon,$0.28
Coronet City // Shield (Hyperspace),Normal,Common,$0.28
Coruscant Dissident,Foil,Uncommon,$0.28
Death Mark (Hyperspace),Normal,Common,$0.28
Foundling (Hyperspace),Normal,Common,$0.28
Niima Outpost Constables,Foil,Common,$0.28
Relentless Pursuit,Foil,Common,$0.28
Smuggler's Starfighter (Hyperspace),Normal,Common,$0.28
4-LOM - Bounty Hunter for Hire,Normal,Uncommon,$0.29
Bounty Hunter's Quarry,Normal,Uncommon,$0.29
Concord Dawn Interceptors,Normal,Uncommon,$0.29
Death Trooper,Normal,Special,$0.29
Desperado Freighter (Hyperspace),Normal,Common,$0.29
Detention Block Rescue (Hyperspace),Normal,Common,$0.29
Disabling Fang Fighter (Hyperspace),Normal,Common,$0.29
Guild Target,Foil,Uncommon,$0.29
Jetpack,Normal,Uncommon,$0.29
No Bargain (Hyperspace),Normal,Common,$0.29
Smuggler's Starfighter,Foil,Common,$0.29
Snowtrooper Lieutenant,Normal,Special,$0.29
Surprise Strike (Hyperspace),Normal,Common,$0.29
Brutal Traditions,Normal,Uncommon,$0.30
Clan Saxon Gauntlet,Foil,Uncommon,$0.30
Ketsu Onyo - Old Friend,Foil,Uncommon,$0.30
Lady Proxima - White Worm Matriarch,Normal,Uncommon,$0.30
Moment of Glory (Hyperspace),Normal,Common,$0.30
Punishing One - Dengar's Jumpmaster,Normal,Uncommon,$0.30
Reckless Gunslinger,Foil,Common,$0.30
Vambrace Grappleshot (Hyperspace),Normal,Common,$0.30
Adelphi Patrol Wing (Hyperspace),Normal,Common,$0.31
Enforced Loyalty,Foil,Uncommon,$0.31
Millennium Falcon - Lando's Pride,Foil,Uncommon,$0.31
Synara San - Loyal to Kragan,Foil,Uncommon,$0.31
The Client - Dictated by Discretion,Foil,Uncommon,$0.31
Wroshyr Tree Tender (Hyperspace),Normal,Common,$0.31
Bounty Guild Initiate (Hyperspace),Normal,Common,$0.32
Bounty Posting,Foil,Uncommon,$0.32
Covetous Rivals (Hyperspace),Normal,Common,$0.32
Heroic Renegade (Hyperspace),Normal,Common,$0.32
Modded Cohort (Hyperspace),Normal,Common,$0.32
Bo-Katan Kryze - Fighting For Mandalore,Foil,Uncommon,$0.33
Cargo Juggernaut,Foil,Common,$0.33
Clan Wren Rescuer (Hyperspace),Normal,Common,$0.33
Death Watch Loyalist (Hyperspace),Normal,Common,$0.33
Hunter of the Haxion Brood (Hyperspace),Foil,Common,$0.33
Hylobon Enforcer (Hyperspace),Normal,Common,$0.33
Reputable Hunter (Hyperspace),Normal,Common,$0.33
Warzone Lieutenant (Hyperspace),Normal,Common,$0.33
Enfys Nest - Marauder,Foil,Uncommon,$0.34
House Kast Soldier (Hyperspace),Normal,Common,$0.34
Ketsu Onyo - Old Friend,Normal,Uncommon,$0.34
Kihraxz Heavy Fighter,Foil,Uncommon,$0.34
Kihraxz Heavy Fighter (Hyperspace),Normal,Uncommon,$0.34
Lurking TIE Phantom,Normal,Uncommon,$0.34
Underworld Thug (Hyperspace),Foil,Common,$0.34
Vigilant Pursuit Craft (Hyperspace),Normal,Common,$0.34
Altering the Deal,Normal,Rare,$0.35
Clone Deserter (Hyperspace),Normal,Common,$0.35
Commission,Foil,Uncommon,$0.35
Doctor Aphra - Rapacious Archaeologist,Normal,Rare,$0.35
Fugitive Wookiee,Foil,Common,$0.35
Hunting Nexu (Hyperspace),Normal,Common,$0.35
Imprisoned,Normal,Rare,$0.35
Kragan Gorr - Warbird Captain,Normal,Rare,$0.35
Look the Other Way (Hyperspace),Normal,Common,$0.35
Pirate Battle Tank,Foil,Common,$0.35
Twin Pod Cloud Car (Hyperspace),Normal,Common,$0.35
Altering the Deal,Normal,Rare,$0.36
General Rieekan - Defensive Strategist,Normal,Rare,$0.36
Superlaser Technician,Normal,Special,$0.36
Cassian Andor - Rebellions Are Built On Hope,Normal,Uncommon,$0.37
Omega - Part of the Squad,Normal,Rare,$0.37
Val - Loyal to the End,Normal,Rare,$0.37
Bounty Hunter's Quarry,Foil,Uncommon,$0.38
Commission (Hyperspace),Normal,Uncommon,$0.38
Enterprising Lackeys,Foil,Rare,$0.38
Enterprising Lackeys,Normal,Rare,$0.38
Jetpack,Foil,Uncommon,$0.38
Kuiil - I Have Spoken (Hyperspace),Normal,Uncommon,$0.38
Legal Authority,Normal,Rare,$0.38
Mercenary Company (Hyperspace),Normal,Common,$0.38
Moisture Farmer (Hyperspace),Normal,Common,$0.38
Pirate Battle Tank (Hyperspace),Normal,Common,$0.38
Supercommando Squad (Hyperspace),Normal,Common,$0.38
Relentless Pursuit (Hyperspace),Normal,Common,$0.39
Rickety Quadjumper (Hyperspace),Normal,Common,$0.39
Toro Calican - Ambitious Upstart,Foil,Uncommon,$0.39
Bo-Katan Kryze - Fighting For Mandalore (Hyperspace),Normal,Uncommon,$0.40
Coruscant Dissident (Hyperspace),Normal,Uncommon,$0.40
Crosshair - Following Orders (Hyperspace),Normal,Uncommon,$0.40
Desperado Freighter,Foil,Common,$0.40
Doctor Pershing - Experimenting With Life,Normal,Rare,$0.40
Echo - Restored (Hyperspace),Normal,Uncommon,$0.40
